    Year                GNP
0   1909                116.8
1   1910                120.1
2   1911                123.2
3   1912                130.2
4   1913                131.4
5   1914                125.6
6   1915                124.5
7   1916                134.3
8   1917                135.2
9   1918                151.8
10  1919                146.4
11  1920                140.0
12  1921                127.8
13  1922                148.0
14  1923                165.9
15  1924                165.5
16  1925                179.4
17  1926                190.0
18  1927                189.8
19  1928                190.9
20  1929                203.6
21  1930                183.5
22  1931                169.3
23  1932                144.2
24  1933                141.5
25  1934                154.3
26  1935                169.5
27  1936                193.0
28  1937                203.2
29  1938                192.9
30  1939                209.4
31  1940                227.2
32  1941                263.7
33  1942                297.8
34  1943                337.1
35  1944                361.3
36  1945                355.2
37  1946                312.6
38  1947                309.9
39  1948                323.7
40  1949                324.1
41  1950                355.3
42  1951                383.4
43  1952                395.1
44  1953                412.8
45  1954                407.0
46  1955                438.0
47  1956                446.1
48  1957                452.5
49  1958                447.3
50  1959                475.9
51  1960                487.7
52  1961                497.2
53  1962                529.8
54  1963                551.0
55  1964                581.1
56  1965                617.8
57  1966                658.1
58  1967                675.2
59  1968                706.6
60  1969                724.7
61  1970                720.0
